"Notes:"
""
""
"Data:"
"Time(Seconds)","O2 mV","ppm O2","Pressure(torr)","Temp(None)","","Rapidox Time","Rapidox Date","Status"
"0","278.5","2.149E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:40","2024/5/12","L  ",""
"1","278.5","2.140E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:41","2024/5/12","L  ",""
"2","278.6","2.130E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:42","2024/5/12","L  ",""
"3","278.7","2.121E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:43","2024/5/12","L  ",""
"4","278.7","2.121E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:44","2024/5/12","L  ",""
"5","278.8","2.102E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:45","2024/5/12","L  ",""
"6","278.8","2.102E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:46","2024/5/12","L  ",""
"7","278.9","2.093E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:47","2024/5/12","L  ",""
"8","279.0","2.083E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:48","2024/5/12","L  ",""
"9","279.1","2.074E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:49","2024/5/12","L  ",""
"10","279.1","2.065E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:50","2024/5/12","L  ",""
"11","279.2","2.056E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:51","2024/5/12","L  ",""
"12","279.3","2.046E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:52","2024/5/12","L  ",""
"13","279.4","2.037E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:53","2024/5/12","L  ",""
"14","279.4","2.037E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:54","2024/5/12","L  ",""
"15","279.4","2.028E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:55","2024/5/12","L  ",""
"16","279.5","2.019E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:56","2024/5/12","L  ",""
"17","279.6","2.010E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:57","2024/5/12","L  ",""
"18","279.7","2.001E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:58","2024/5/12","L  ",""
"19","279.7","1.993E-1","0.000E+0","0.000E+0","0.00000E+0","22:06:59","2024/5/12","L  ",""
"20","279.7","1.993E-1","0.000E+0","0.000E+0","0.00000E+0","22:07:00","2024/5/12","L  ",""
"21","279.8","1.984E-1","0.000E+0","0.000E+0","0.00000E+0","22:07:01","2024/5/12","L  ",""
"22","279.9","1.975E-1","0.000E+0","0.000E+0","0.00000E+0","22:07:02","2024/5/12","L  ",""
"23","280.0","1.966E-1","0.000E+0","0.000E+0","0.00000E+0","22:07:03","2024/5/12","L  ",""
